,link_id,osm_way_id,from_node_id,to_node_id,length,lanes,free_speed,geometry,allowed_uses
36,36,3995297,312335165,481443850,11.31491603375291,3,16.67,"LINESTRING (47.37926864624024 8.483301162719727, 47.3794174194336 8.483315467834473)",auto
37,37,44186480,27482585,561444877,21.823579620297252,3,16.67,"LINESTRING (47.3618392944336 8.547637939453125, 47.36162185668945 8.547767639160156)",auto
38,38,45156949,5420271018,687453979,28.702427133579697,3,16.67,"LINESTRING (47.37870788574219 8.574844360351562, 47.37859725952149 8.575091361999512)",auto
39,39,803360922,789503094,804709807,39.31723949531862,3,16.67,"LINESTRING (47.340110778808594 8.57781982421875, 47.339725494384766 8.578058242797852)",auto
40,40,29343716,3256284931,1051730341,14.823105427043412,3,16.67,"LINESTRING (47.39168167114258 8.525125503540039, 47.3916130065918 8.525250434875488)",auto
41,41,434344663,1986680543,1099766220,3.3322705405328836,3,16.67,"LINESTRING (47.390567779541016 8.54557991027832, 47.39060974121094 8.545570373535156)",auto
42,42,542740875,5247059630,1102105084,10.898278321661648,3,16.67,"LINESTRING (47.36429977416992 8.529608726501465, 47.36432647705078 8.529705047607422)",auto
43,43,136129994,1493731504,1263381304,8.050949764627344,3,16.67,"LINESTRING (47.35329055786133 8.525097846984863, 47.35320663452149 8.525053024291992)",auto
44,44,30166658,6184045450,1355547796,29.65397177864954,3,16.67,"LINESTRING (47.34342193603516 8.52043628692627, 47.34355163574219 8.520184516906738)",auto
45,45,5075635,5397966255,1361183130,30.404863225863245,3,16.67,"LINESTRING (47.363861083984375 8.531654357910156, 47.3637809753418 8.531922340393066)",auto
46,46,62207343,775938709,2023944459,115.23392136078338,3,16.67,"LINESTRING (47.38643264770508 8.491805076599121, 47.386810302734375 8.490800857543945)",auto
47,47,988231614,462228886,2234511481,17.006879228743216,3,16.67,"LINESTRING (47.39508819580078 8.472363471984863, 47.39507293701172 8.472516059875488)",auto
48,48,618827921,1650974456,2234514917,6.172063034997754,3,16.67,"LINESTRING (47.39494323730469 8.473014831542969, 47.394901275634766 8.473062515258789)",auto
49,49,31857349,101724973,2529712653,26.87932809108622,3,16.67,"LINESTRING (47.42333984375 8.549781799316406, 47.423526763916016 8.549575805664062)",auto
50,50,190337924,2013653867,2628341583,18.094240927975214,3,16.67,"LINESTRING (47.40016174316406 8.546011924743652, 47.40011978149414 8.545851707458496)",auto
51,51,576460468,1265605954,2889766186,24.204404134446463,3,16.67,"LINESTRING (47.40378189086914 8.503253936767578, 47.40361022949219 8.503069877624512)",auto
52,52,403112004,8809236687,2995495231,14.732518366472242,3,16.67,"LINESTRING (47.4256706237793 8.493928909301758, 47.42560958862305 8.494054794311523)",auto
53,53,385873746,84491994,3840874402,5.383332700707088,3,16.67,"LINESTRING (47.39537811279297 8.526022911071777, 47.39533233642578 8.525985717773438)",auto
54,54,371166588,4656435064,3925897625,8.157725121508317,3,16.67,"LINESTRING (47.3962516784668 8.532289505004883, 47.3963508605957 8.532319068908691)",auto
55,55,34129509,391307999,4360322995,47.43583959392459,3,16.67,"LINESTRING (47.34399032592773 8.515193939208984, 47.34396743774414 8.515620231628418)",auto
