,edge_id,from_node_id,to_node_id
592,592,168,316
593,593,168,333
594,594,170,245
595,595,170,297
596,596,596,312
597,597,171,257
598,598,597,83
599,599,172,197
600,600,172,53
601,601,173,299
602,602,174,313
603,603,174,189
604,604,175,305
605,605,175,348
606,606,598,245
607,607,598,273
608,608,177,63
609,609,177,334
610,610,178,223
611,611,179,57
612,612,179,361
613,613,57,204
614,614,57,361
615,615,181,87
616,616,181,78
617,617,599,338
618,618,182,198
619,619,182,318
620,620,184,214
621,621,185,27
622,622,185,247
623,623,186,42
624,624,187,241
625,625,188,282
626,626,188,322
627,627,189,231
628,628,191,611
629,629,191,1
630,630,192,287
631,631,193,208
632,632,193,221
633,633,193,292
634,634,195,255
635,635,195,107
636,636,195,310
637,637,196,240
638,638,196,292
639,639,59,279
640,640,59,281
641,641,199,209
642,642,199,236
643,643,200,286
644,644,200,217
645,645,200,336
646,646,201,270
647,647,201,310
648,648,201,210
649,649,203,226
650,650,204,204
651,651,205,410
652,652,206,258
653,653,208,321
654,654,208,617
655,655,210,270
656,656,210,609
657,657,211,315
658,658,211,222
659,659,601,323
660,660,213,246
661,661,213,219
662,662,72,76
663,663,214,558
664,664,214,254
665,665,215,286
666,666,216,278
667,667,218,95
668,668,218,218
669,669,220,228
670,670,221,321
671,671,221,227
672,672,224,266
673,673,225,345
674,674,225,253
675,675,226,19
676,676,605,291
677,677,227,344
678,678,228,98
679,679,229,357
680,680,230,234
681,681,230,250
682,682,232,317
683,683,233,314
684,684,234,342
685,685,234,250
686,686,235,260
687,687,235,242
688,688,236,256
689,689,83,338
690,690,237,17
691,691,237,300
692,692,239,297
693,693,607,111
694,694,608,305
695,695,608,341
696,696,609,327
697,697,240,240
698,698,240,617
699,699,241,286
700,700,241,312
701,701,241,349
702,702,243,252
703,703,245,267
704,704,247,58
705,705,249,328
706,706,250,301
707,707,254,362
708,708,259,77
709,709,260,47
710,710,262,278
711,711,263,360
712,712,263,273
713,713,264,295
714,714,264,330
715,715,265,479
716,716,265,265
717,717,265,499
718,718,266,377
719,719,268,355
720,720,269,360
721,721,269,273
722,722,614,278
723,723,96,283
724,724,271,613
725,725,272,275
726,726,272,303
727,727,274,325
728,728,274,330
729,729,276,606
730,730,279,364
731,731,283,369
732,732,285,356
733,733,287,351
734,734,287,591
735,735,287,612
736,736,94,297
737,737,288,368
738,738,290,294
739,739,290,366
740,740,292,414
741,741,306,411
742,742,307,495
743,743,308,370
744,744,309,315
745,745,309,365
746,746,311,336
747,747,313,579
748,748,1,342
749,749,319,320
750,750,320,350
751,751,58,33
752,752,27,352
753,753,324,66
754,754,325,330
755,755,329,620
756,756,343,345
757,757,350,548
758,758,350,406
759,759,351,359
760,760,352,53
761,761,352,6
762,762,353,354
763,763,358,438
764,764,359,386
765,765,365,533
766,766,365,418
767,767,366,62
768,768,366,71
769,769,91,18
770,770,368,296
